NAME,TYPE,Sector,ADDRESS_AB,CITY,PROVINCE,POSTAL_COD,longitude,latitude
Alberta College of Art and Design,Post Secondary,,,Calgary,AB,,-114.0903742,51.0632961
Nickle,Public School,SE,2500 Lake Bonavista Drive SE,Calgary,AB,T2J2Y6,-114.0614348,50.94073673
Calgary Waldorf,Private School,SW,515 Cougar Ridge Drive SW,Calgary,AB,T3H5G9,-114.2183262,51.07234939
Discovering Choices - Westbrook Outreach,Public School,SW,"3, 1002 37 Street SW",Calgary,AB,T3C1S1,-114.1403068,51.04428799
Dr. George Stanley,Public School,SW,585 Cranston Drive SW,Calgary,AB,T3M0J4,-113.9782889,50.88277715
St. Alphonsus,Separate School,NE,928 Radnor Ave NE,Calgary,AB,T2E5H5,-114.041415,51.06473357
Glenmore Christian Academy Junior High,Private School,SW,16520-24 Street SW,Calgary,AB,T2Y4W2,-114.1152537,50.90397951
Chief Justice Milvain,Public School,NE,3428 42 Street NE,Calgary,AB,T1Y6A3,-113.97219,51.08368605
Glenmore Christian Academy Elementary,Private School,SW,16520 - 24 Street SW,Calgary,AB,T2Y4W2,-114.1152537,50.90397951
Langevin,Public School,NE,107 6A Street NE,Calgary,AB,T2E0B7,-114.0477096,51.05285065
St. Vincent de Paul,Separate School,NW,4525 49 St NW,Calgary,AB,T3A0K4,-114.159751,51.09313088
St. Joan of Arc,Separate School,SW,7970 Wentworth Dr SW,Calgary,AB,T3H0K2,-114.2072404,51.05712474
Marshall Springs,Public School,SW,1100 Everridge Drive SW,Calgary,AB,T2Y4X5,-114.1123004,50.91144484
Huntington Hills,Public School,NW,820 64 Avenue NW,Calgary,AB,T2K0M5,-114.0774569,51.11220898
McKenzie Highlands,Public School,SE,25 McKenzie Towne Drive SE,Calgary,AB,T2Z4B7,-113.9700732,50.91099366
Crossing Park,Public School,NE,500 Martindale Boulevard NE,Calgary,AB,T3J4W8,-113.9663237,51.11569222
Montessori School of Calgary,Private School,SW,2201 Cliff Street SW,Calgary,AB,T2S2G4,-114.0760776,51.03336102
St. Sebastian,Separate School,SE,65 Chaparral Dr SE,Calgary,AB,T2X0E6,-114.029127,50.88484306
Glamorgan,Public School,SW,50 Grafton Drive SW,Calgary,AB,T3E4W3,-114.1453983,51.01537994
Rundle,Public School,NE,4120 Rundlehorn Drive NE,Calgary,AB,T1Y4W9,-113.9737217,51.07118232
Renfrew Educational Services-Janice McTighe Centre,Private School,NE,2050 - 21 Street NE,Calgary,AB,T2E6S5,-114.0082917,51.06962096
Louis Riel,Public School,SW,9632 Oakfield Drive SW,Calgary,AB,T2V0L1,-114.1322579,50.96673113
Trinity Christian,Public School,SE,"#100, 295 Midpark Way SE",Calgary,AB,T2X2A8,-114.0622404,50.90932823
West Dalhousie,Public School,NW,6502 58 Street NW,Calgary,AB,T3A2C8,-114.1695389,51.1111682
Fairview,Public School,SE,7840 Fairmount Drive SE,Calgary,AB,T2H0Y1,-114.05945,50.98398556
Calgary Girls',Charter,SW,6304 Larkspur Way SW,Calgary,AB,T3E5P7,-114.1147539,50.99907702
Richmond,Public School,SW,2701 22 Street SW,Calgary,AB,T2T5G5,-114.1150386,51.03013271
Mountain Park,Public School,SE,312 Mount Douglas Close SE,Calgary,AB,T2Z4Y1,-113.9818799,50.92379832
St. Luke,Separate School,NW,1232 Northmount Dr NW,Calgary,AB,T2L0E1,-114.1226868,51.09082672
Willow Park,Public School,SE,343 Willow Park Drive SE,Calgary,AB,T2J0K7,-114.0606873,50.95779616
Buffalo Rubbing Stone,Public School,NW,1308 Panatella Boulevard NW,Calgary,AB,T3K0X2,-114.0873685,51.1683524
St. John Paul II,Separate School,NE,119 Castleridge Dr NE,Calgary,AB,T3J1P6,-113.9561994,51.10771023
Ethel M. Johnson,Public School,SW,255 Sackville Drive SW,Calgary,AB,T2W0W7,-114.0890389,50.95547339
Thomas B. Riley,Public School,NW,3915 69 Street NW,Calgary,AB,T3B2J9,-114.1890516,51.08752917
Lester B. Pearson High,Public School,NE,3020 52 Street NE,Calgary,AB,T1Y5P4,-113.9563976,51.07694992
Banbury Crossroads,Private School,SW,B1 #201 2451 Dieppe Avenue SW,Calgary,AB,T3E7K1,-114.1190388,51.01928658
Bowcroft,Public School,NW,3940 73 Street NW,Calgary,AB,T3B2L9,-114.1927889,51.08755906
Bishop Carroll High,Separate School,SW,4624 Richard Rd SW,Calgary,AB,T3E6L1,-114.1207863,51.01269519
Cambrian Heights,Public School,NW,640 Northmount Drive NW,Calgary,AB,T2K3J5,-114.0879744,51.08535175
University of Calgary - Downtown Campus,Post Secondary,,,Calgary,AB,T2P1H9,-114.0821275,51.0463613
Notre-Dame de la Paix,Francophone,SE,809 Willingdon Blvd SE,Calgary,AB,T2J2B7,-114.0433726,50.95091705
Ernest Morrow,Public School,SE,1212 47 Street SE,Calgary,AB,T2A1R3,-113.9648387,51.04338456
Bishop O'Byrne High,Separate School,SE,500 333 Shawville Blvd SE,Calgary,AB,T2Y4H3,-114.0645668,50.89809185
St. Basil,Separate School,NW,919 Tuscany Dr NW,Calgary,AB,T3L2T5,-114.2503348,51.11941379
Dr. E.W. Coffin,Public School,NW,5615 Barrett Drive NW,Calgary,AB,T2L1W4,-114.1347991,51.10375263
Penbrooke Meadows,Public School,SE,5645 Pensacola Crescent SE,Calgary,AB,T2A2G4,-113.9521888,51.04179533
St. Ambrose,Separate School,NW,1500 Arbour Lake Rd NW,Calgary,AB,T3G4X9,-114.2061636,51.13347038
